movie_img,movie_name,movie_name_e,movie_director,movie_actor,movie_cate,movie_age,movie_date,movie_content1,movie_content2,movie_content3,movie_content4
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81791/81791_185.jpg,더 보이,Brightburn,데이비드 야로베스키,"잭슨 A. 던,엘리자베스 뱅크스,데이비드 덴맨",장르 : ,"미정, 0분, 미국",,<div>다른 세계에서 온 특별한 힘을 가진 소년 ‘브랜든’이 사악한 존재로 자라면서 벌어지는 이야기를 그린 SF 호러</div>,다른 세계에서 온 특별한 힘을 가진 소년 ‘브랜든’이 사악한 존재로 자라면서 벌어지는 이야기를 그린 SF 호러,,
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81773/81773_185.jpg,이다혜의 북클럽(번외편)-교토의 밤 산책자,CGV ARTHOUSE Class,,,개봉 : ,"전체, 90분, 한국",,"<p>역사 속 도시일 뿐 아니라 현재진행형으로 문학과 영화, 애니메이션을 통해 그려지는 교토라는 도시의 매력을 이야기합니다. <br>
&lt;교토의 밤 산책자&gt;에 다 담지 못한 교토 여행 이야기를 나눕니다. 다 말하지 않은 추가 여행 정보도 기대하세요. <br>
당신도 교토에 다녀오면 글을 쓰고 싶어질 거예요. 여행에 대한 그리움을 가득 채우는 시간을 꾸립니다.</p>,<p>*참석하시는 모든 분들께 '에어팟 철가루 방지 시바견 스티커'를, 낭독에 참여하시는 분들에게는 '도자기 젓가락 받침'을 드립니다.<br>
*당일 행사 종료 후 저자 사인회가 진행됩니다.</p>","역사 속 도시일 뿐 아니라 현재진행형으로 문학과 영화, 애니메이션을 통해 그려지는 교토라는 도시의 매력을 이야기합니다. ,
<교토의 밤 산책자>에 다 담지 못한 교토 여행 이야기를 나눕니다. 다 말하지 않은 추가 여행 정보도 기대하세요. ,
당신도 교토에 다녀오면 글을 쓰고 싶어질 거예요. 여행에 대한 그리움을 가득 채우는 시간을 꾸립니다.,*참석하시는 모든 분들께 '에어팟 철가루 방지 시바견 스티커'를, 낭독에 참여하시는 분들에게는 '도자기 젓가락 받침'을 드립니다.,
*당일 행사 종료 후 저자 사인회가 진행됩니다.",,
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81768/81768_185.jpg,누구나 아는 비밀,Everybody Knows,아쉬가르 파라디,"페넬로페 크루즈,하비에르 바르뎀,리카도 다린",장르 : 드라마,"미정, 132분, 스페인, 이탈리아, 프랑스",,,,,
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81749/81749_185.jpg,어벤져스: 엔드게임,Avengers: Endgame,"안소니 루소,조 루소",, / 기본 : ,"12세 이상, 181분, 미국",,"<div>인피니티 워 이후 절반만 살아남은 지구<br>
마지막 희망이 된 어벤져스<br>
먼저 떠난 그들을 위해  모든 것을 걸었다!<br>
 <br>
<strong>위대한 어벤져스<br>
운명을 바꿀 최후의 전쟁이 펼쳐진다</strong></div>","인피니티 워 이후 절반만 살아남은 지구,
마지막 희망이 된 어벤져스,
먼저 떠난 그들을 위해  모든 것을 걸었다!,
 ,
","위대한 어벤져스,
운명을 바꿀 최후의 전쟁이 펼쳐진다",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81776/81776_185.jpg,로지,ROGIE,패디 브레스내치,"사라 그린,모 던포드",장르 : 드라마,"미정, 0분, 아일랜드",,"<p>집을 잃은 후 잘 곳도, 머물 곳도 사라진 가족.<br>
로지와 남편 존, 그리고 어린 네 아이들은<br>
작은 자동차에 의지해 새로운 보금자리를 찾아 나선다.</p>,<p>오늘만 견디면 될 거라고 생각했던 내일이 반복되면서,<br>
당장 밤을 함께 보낼 방 한 칸 조차 구하지 못하는<br>
극한의 상황까지 도달한 가족.<br>
설상가상 이웃들까지 로지의 이러한 상황을 눈치채고 마는데…<br>
로지는 세상의 냉혹함과 마주한 현실 속에서<br>
사랑하는 가족을 지켜내려 발버둥치기 시작한다.</p>","집을 잃은 후 잘 곳도, 머물 곳도 사라진 가족.,
로지와 남편 존, 그리고 어린 네 아이들은,
작은 자동차에 의지해 새로운 보금자리를 찾아 나선다.,오늘만 견디면 될 거라고 생각했던 내일이 반복되면서,,
당장 밤을 함께 보낼 방 한 칸 조차 구하지 못하는,
극한의 상황까지 도달한 가족.,
설상가상 이웃들까지 로지의 이러한 상황을 눈치채고 마는데…,
로지는 세상의 냉혹함과 마주한 현실 속에서,
사랑하는 가족을 지켜내려 발버둥치기 시작한다.",,
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81775/81775_185.jpg,논-픽션,Non-Fiction,올리비에 아사야스,"줄리엣 비노쉬,기욤 까네,빈센트 맥케인",장르 : 드라마,"15세 이상, 108분, 프랑스",,"<p>'종이책과 E북 사이에서 고민에 빠졌다' 성공한 편집장, 알랭<br>
'부부는 욕망만으로 살지 않는다' 아름다운 스타배우, 셀레나<br>
'나의 연애사를 책에 썼다' 작가, 레오나르<br>
'남편의 연애를 눈치챘다' 정치인 비서관, 발레리<br>
'종이책의 시대를 바꾸고 싶다' 젊은 디지털 마케터, 로르</p>,<p><strong>모든 게 완벽한 쿨한 파리지엥들의<br>
지적인 토크가 폭죽처럼 터진다!</strong></p>","'종이책과 E북 사이에서 고민에 빠졌다' 성공한 편집장, 알랭,
'부부는 욕망만으로 살지 않는다' 아름다운 스타배우, 셀레나,
'나의 연애사를 책에 썼다' 작가, 레오나르,
'남편의 연애를 눈치챘다' 정치인 비서관, 발레리,
'종이책의 시대를 바꾸고 싶다' 젊은 디지털 마케터, 로르",,
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81772/81772_185.jpg,베카신!,Becassine!,브뤼노 포달리데,에밀린 바야르트,"장르 : 가족, 어드벤처, 코미디","전체, 96분, 프랑스",,"<strong>""실수남발! But 천진난만! 순수함 그 자체!""<br>
엉뚱한 시골뜨기 베카신의 기발하고 사랑스러운 일상 어드벤처!</strong>,<br>,<br>,<br>,<br>,<br>,<br>,<br>,<br>,<br>,<br>,<br>","""실수남발! But 천진난만! 순수함 그 자체!"",
엉뚱한 시골뜨기 베카신의 기발하고 사랑스러운 일상 어드벤처!",,
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81769/81769_185.jpg,세상을 바꾼 변호인,On the Basis of Sex,미미 레더,"펠리시티 존스,아미 해머",장르 : 드라마,"12세 이상, 120분, 미국",,"<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">남성</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">위주의</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">사회</span></span>,<span style=""color:#000000; font-family:맑은 고딕; font-size:10pt"">,</span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">그</span></span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">중에서도</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">법조계에서</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">고군분투해</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">온</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">여성</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">변호사</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">루스</span></span>,<span style=""color:#000000; font-family:맑은 고딕; font-size:10pt"">(</span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">펠리시티</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">존스</span></span>,<span style=""color:#000000; font-family:맑은 고딕; font-size:10pt"">)</span>,<span style=""font-family:맑은 고딕""> </span>,<br>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">어느</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">날</span></span>,<span style=""color:#000000; font-family:맑은 고딕; font-size:10pt"">,</span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">그녀는</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">남편</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">마티</span></span>,<span style=""color:#000000; font-family:맑은 고딕; font-size:10pt"">(</span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">아미</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">해머</span></span>,<span style=""color:#000000; font-family:맑은 고딕; font-size:10pt"">)</span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">와</span></span>,<span style=""font-family:맑은 고딕""> </span>,<span style=""color:#000000; font-family:맑은고딕; font-size:10pt""><span style=""font-family:맑은 고딕"">함께</span></span>,<span style=""font-family:맑은 고딕""> </span>,<sp><!-- .sect-story -->
            <div id=""ctl00_PlaceHolderContent_Section_Chart"" class=""sect-graph"">
                <ul class=""graph"">
                    <li>
                        <strong>매력포인트</strong>
						<div class=""radar-graph"" id=""chart1"">							
                            <canvas id=""charmScore1"" width=""221"" height=""221""></canvas>
						</div>
                    </li>
                    <li>
                        <strong>성별 예매 분포</strong>
                        <div id=""jqplot_sex"" class=""chart""></div>
                    </li>
                    <li>
                        <strong>연령별 예매 분포</strong>
                        <div id=""jqplot_age"" class=""chart""></div>
                    </li>
                </ul>
            </div>            
            <!-- .sect-graph -->

            <div class=""movie-detail-ad"">
                <iframe src=""http://ad.cgv.co.kr/NetInsight/html/CGV/CGV_201401/sub@SponsorBar_800"" width=""800"" height=""90"" title="""" frameborder=""0"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" name=""SponsorBar_800"" id=""SponsorBar_800""></iframe>
            </div>
            <!-- .sect-staff -->
            <!-- .sect-trailer -->
            <div id=""ctl00_PlaceHolderContent_Section_Still_Cut"" class=""sect-stillcut"">
                <div class=""heading"">
                    <h4>스틸컷</h4><span class=""count""><strong id=""stillcut_current"">1</strong>/1건</span><a class=""link-more"" href=""still-cut.aspx?midx=81769"">더보기</a>
                </div>
                <div class=""slider-wrap"">
                    <div class=""slider"" id=""still_motion"">
                        
                        <div class=""item-wrap"">
                            <div class=""item"">
                                <img data-src=""http://img.cgv.co.kr/Movie/Thumbnail/StillCut/000081/81769/81769166257_727.jpg"" alt=""세상을 바꾼 변호인"" onerror=""errorImage(this)"">
                            </div>
                        </div>
                        
                        <button type=""button"" class=""btn-prev"">이전 페이지 이동</button>
                        <button type=""button"" class=""btn-next"">다음 페이지 이동</button>
                    </div>
                </div>
            </div><!-- .sect-stillcut -->


              
    
            <div class=""sect-grade"">             
                <div class=""heading-new"">
                    <a class=""goto-link"" name=""commentReg""><h4>실관람객 평점</h4></a>
                    <p class=""txt-write"">관람일 포함 7일 이내 관람평을 남기시면 <strong>CJ ONE 20P</strong>가 적립됩니다. <a class=""link-gradewrite"" href=""javascript:void(0);""><span>평점작성</span></a><a class=""link-reviewwrite"" href=""/movies/point/my-list.aspx""><span>내 평점</span></a></p>
                </div>

                <div class=""egg-grade"">
					<a class=""info1"" id=""goldenEggAlert"" href=""javascript:void(0);"">Golden EGG지수<br><img src=""http://img.cgv.co.kr/R2014/images/common/ico/ico-question-mark.png"" alt=""?""></a>
					<div class=""massagebox"">
						<p>
                            <span class=""msg-em""><strong id=""cgvEggCountTxt"">0</strong>명의</span>
							<em>CGV실관람객이</em> 평가해주셨습니다.
						</p>
					</div>
                    <!-- great , good-->
					<div class=""egg-gage big"" id=""eggIconDiv"">
						<span class=""egg good""></span>
                        
						<span class=""percent""><strong></strong>?</span>
					</div>

					<div class=""radar-graph"" id=""chart2"">
						<canvas id=""charmScore2"" width=""200"" height=""200""></canvas>						
					</div>
				</div>

                <ul class=""sort"" id=""sortTab"">
                    <li class=""sortTab on"" data-order-type=""0"" id=""test""><a href=""javascript:void(0);"" title=""현재선택"">최신순<span class=""arrow-down""></span></a></li>
                    <li class=""sortTab"" data-order-type=""3""><a href=""javascript:void(0);"">추천순<span class=""arrow-down""></span></a></li>
                </ul>
                                
                <div class=""wrap-persongrade"">
                    <!-- 평점 목록 -->
                    <ul id=""movie_point_list_container"" class=""point_col2""></ul>
                </div>
            </div><!-- .sect-grade -->
          
            <!-- 리뷰 시작 -->
            
            <!-- 리뷰 종료 -->
            
            <div class=""paging"">
				<ul id=""paging_point""></ul>
			</div>

             
            
            <!-- 연관영화 -->
            <div class=""sect-movielist"" style=""display :none"">
                <h3><img src=""http://img.cgv.co.kr/R2014/images/title/h3_relation_movie.gif"" alt=""RELATION MOVIE""></h3>
                <ul>
                
                    <li>
                        <div class=""box-image"">
                            <a href=""/movies/detail-view/?midx=81786"">
                                <span class=""thumb-image"">
                                    <img src=""http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81786/81786_126.jpg"" alt=""하나님과의 인터뷰 포스터"">
                                    <span class=""ico-grade grade-all"">전체</span>
                                </span>
                            </a>
                        </div>
                        <div class=""box-contents"">
                            <a href=""/movies/detail-view/?midx=81786""><strong>하나님과의 인터뷰</strong></a>
                        </div>
                    </li>
                    
                    <li>
                        <div class=""box-image"">
                            <a href=""/movies/detail-view/?midx=81783"">
                                <span class=""thumb-image"">
                                    <img src=""http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81783/81783_126.jpg"" alt=""미드 90 포스터"">
                                    <span class=""ico-grade grade-none"">미정</span>
                                </span>
                            </a>
